trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
0,sor,0,SELL,1592,1592,1,10002.5,10002,796,0.5,0,184.9,1.4328
0,sor,1,SELL,597,597,1,10003.5,10002,890.5,1.49162,0,120.4,0.5373
0,sor,2,BUY,8789,8789,1,10003.5,10009.6,53932.5,-10.2965,0,4205.5,4.0167
0,sor,3,SELL,629,629,1,10003.5,10002,943.5,1.5,0,117.5,0.5661
0,sor,4,BUY,4273,4273,1,10003.5,10004,2136.5,0.5,0,6732.5,2.2257
0,sor,5,BUY,8592,8592,1,10003.5,9999.46,-34674,-4.03561,0,11295.1,3.7989
1,sor,0,BUY,3018,3018,1,10005.5,10006,1509,0.5,0,9104.6,1.2177
1,sor,1,SELL,2663,2663,1,10005.5,10004,3992.5,1.49925,0,452.7,1.0737
1,sor,2,BUY,719,719,1,10005.5,10006,359.5,0.5,0,144.7,0.6471
1,sor,3,BUY,8348,8348,1,10005,10017.5,104253,12.4884,0,563.2,3.7116
1,sor,4,BUY,2621,2621,1,10005,10006.4,3617,0.380008,0,980.3,1.4409
1,sor,5,SELL,5724,5724,1,10097,10039.9,326835,57.0991,0,265.7,3.6396
2,sor,0,BUY,4881,4881,1,10003.5,10005,7293.5,1.49426,0,23114.9,2.8674
2,sor,1,BUY,1961,1961,1,10004.5,10005,980.5,0.5,0,3963.3,1.1439
2,sor,2,SELL,2239,2239,1,9921.5,9907.89,30478.5,13.6126,0,191.5,0.7623
2,sor,3,BUY,8928,8928,1,9912,9949,330308,36.9969,0,2980.1,2.7882
2,sor,4,BUY,6738,6738,1,9912,9938.66,179635,26.66,0,305.8,3.4818
2,sor,5,BUY,9111,9111,1,9959,9934.5,-223180,-24.4957,0,590.1,1.4538
3,sor,0,SELL,4641,4641,1,10007,10005.7,6153,1.32579,0,481,2.3706
3,sor,1,SELL,2889,2889,1,10007.5,10003.5,11552.5,3.99879,0,1471.9,1.8873
