trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
0,sor,0,SELL,1592,1592,1,10157,10158.5,-2352,-41.7506,0,459.3,0.670357
0,sor,1,SELL,597,597,1,9555,9591.78,-21960,-35.4816,0,158,0.0559887
0,sor,2,BUY,8789,8789,1,9565,9545.7,-169589,29.19,0,663.5,3.17754
0,sor,3,SELL,629,629,1,9791.5,9810,-11636.5,-18.5,0,159.2,0.0562743
0,sor,4,BUY,4273,4273,1,9964.5,9932.99,-134629,12.3592,0,952.1,0.910216
0,sor,5,BUY,8592,8592,1,9696.5,9728.06,271128,-18.6003,0,655.1,2.42529
1,sor,0,BUY,3018,3018,1,10176,10197.6,65112,-28.2199,0,1290.5,0.797935
1,sor,1,SELL,2663,2663,1,10241.5,10214.2,72701.5,24.6906,0,2252.3,0.575029
1,sor,2,BUY,719,719,1,10383.5,10385.7,1565.5,2.17733,0,126.2,0.682024
1,sor,3,BUY,8348,8348,1,10527.5,10534.7,59790,73.2493,0,6065.5,2.57552
1,sor,4,BUY,2621,2621,1,10509.5,10510,1412.5,8.641,0,3402,1.28032
1,sor,5,SELL,5724,5724,1,10038.5,10039.6,-6040,-0.555206,0,491.7,2.17076
2,sor,0,BUY,4881,4881,1,9865.5,9868.09,12632.5,2.5881,0,486.2,1.24678
2,sor,1,BUY,1961,1961,1,9877.5,9899,42161.5,1.46321,0,7873.9,0.175443
2,sor,2,SELL,2239,2239,1,9984,9974.59,21060,9.40598,0,441.7,1.19367
2,sor,3,BUY,8928,8928,1,9970.5,9985.45,133518,14.955,0,637.1,2.55831
2,sor,4,BUY,6738,6738,1,9940,10000.1,404674,60.0585,0,266.6,3.5152
2,sor,5,BUY,9111,9111,1,10239,10249.8,98431,9.5858,0,2975.8,2.92683
3,sor,0,SELL,4641,4641,1,9886,9901.26,-70840,22.5282,0,1302.8,1.12283
3,sor,1,SELL,2889,2889,1,10036.5,10023.4,37964.5,15.7916,0,475.4,1.66931
3,sor,2,SELL,9003,9003,1,9899,9883.02,143834,2.05164,0,636.8,4.32041
3,sor,3,BUY,768,768,1,9690.5,9661.19,-22511,2.36766,0,181.6,0.0687101
3,sor,4,BUY,9071,9071,1,9804.5,9765.88,-350321,20.5808,0,807.6,2.57969
3,sor,5,SELL,8495,8495,1,9660.5,9652.84,65086.5,7.20577,0,1106.1,3.85321
4,sor,0,BUY,8637,8637,1,9988.5,10001.7,113680,13.162,0,968.8,2.6739
4,sor,1,BUY,3210,3210,1,10169,10207.3,122962,36.4638,0,185.1,0.681517
4,sor,2,SELL,5820,5820,1,10137,10121.7,88950,15.2835,0,719.4,2.59802
4,sor,3,SELL,3111,3111,1,10227.5,10220.6,21381.5,6.87287,0,180.9,0.997402
4,sor,4,BUY,2801,2801,1,10190.5,10220,82519.5,22.2773,0,451,0.778521
4,sor,5,BUY,3482,3482,1,9987,10038.1,177858,9.40194,0,452.1,0.539076
5,sor,0,SELL,1172,1172,1,9866,9938.04,-84431,1.60348,0,584,0.119688
5,sor,1,BUY,6462,6462,1,9955.5,9982.43,174011,26.9284,0,328.6,4.08844
5,sor,2,SELL,2163,2163,1,9771,9790.37,-41899,-19.3708,0,187.6,0.193516
5,sor,3,BUY,7048,7048,1,9910,9901.44,-60303,11.9349,0,866,2.61276
5,sor,4,BUY,869,869,1,9555,9511.24,-38031,-43.7641,0,212.2,0.0820418
5,sor,5,SELL,8811,8811,1,9280,9267.25,112302,12.7457,0,604.1,2.43578
6,sor,0,SELL,2651,2651,1,9975.5,9984.43,-23675.5,-8.93078,0,225.5,1.1925
6,sor,1,SELL,8006,8006,1,10234,10222.9,89126,-9.46761,0,1370.4,4.13104
6,sor,2,SELL,7537,7537,1,10287,10280.4,49879,23.6179,0,560.4,2.32239
6,sor,3,SELL,5033,5033,1,10294,10324.7,-154666,6.31841,0,490.7,1.20576
6,sor,4,BUY,5492,5492,1,10025,10035.8,59170,9.97724,0,1198.3,2.43868
6,sor,5,SELL,8608,8608,1,10112,10082.2,256379,-16.987,0,637.5,2.7362
7,sor,0,SELL,8074,8074,1,9863,9865.73,-22035,24.536,0,49266.7,3.2451
7,sor,1,BUY,4826,4826,1,9965,10031.1,319183,66.1382,0,13135.3,1.74776
7,sor,2,SELL,5570,5570,1,10024.5,10025.5,-5693,9.36245,0,4547.3,1.78937
7,sor,3,BUY,2227,2227,1,10157.5,10177.1,43739.5,-0.0410025,0,436.7,0.454102
7,sor,4,SELL,5502,5502,1,10383,10389.9,-37912,47.0457,0,1656.4,1.19311
7,sor,5,BUY,5977,5977,1,10441.5,10431.5,-59675.5,23.7082,0,520.2,2.35107
8,sor,0,SELL,9333,9333,1,9056.5,9073.54,-159032,10.7254,0,627,3.05387
8,sor,1,SELL,6748,6748,1,9263,9255.17,52822,12.7621,0,735.2,1.52304
8,sor,2,SELL,3806,3806,1,8980,9003.99,-91308,4.96406,0,370.5,0.340509
